top_pct,top_group,risk_threshold_pct,observed_prevalence_pct,case_capture_pct
10,Top 10%,24.413816806207784,37.57370199439797,35.717095957558044
20,Top 20%,14.729727657276017,29.425655002577322,55.997792317752804
30,Top 30%,10.294884550500448,23.899917164420618,68.22811593983187
40,Top 40%,7.80284309736167,20.765656560574097,79.03869615758335
50,Top 50%,6.168709090332322,17.965857323650244,85.48121469201561
60,Top 60%,4.91781275069072,15.647682998555993,89.34487718223511
70,Top 70%,3.777766392042979,13.999712277146239,93.25263691960077
80,Top 80%,2.872233668923191,12.661347356153687,96.39232242613747
90,Top 90%,1.9189969748163636,11.50511392546623,98.5327533502213
100,Top 100%,0.41167328009232595,10.50869989942867,100.0
